"reachNumber","reachID","length","width","depth","localArea","localPET","localCin","d","connect","order","lake"
9439,22722259,474,5.99344889693813,0.238832169472919,445500,0.005,10,0.1,"22722255",2,0
9438,22724109,53,5.99476962401881,0.23886900889306,9900,0.005,10,0.1,"22722259",2,0
9922,22722335,2768,4.41147106991875,0.192720300348606,3227400,0.005,10,0.1,"22722261,22722269",2,0
8716,22724117,66,1.62868867950345,0.0959413253065461,1800,0.005,10,0.1,"22722297",1,0
10181,22724181,53,2.9567195782693,0.145641839278031,6300,0.005,10,0.1,"22722307",1,0
8790,22724163,6,4.5354464575933,0.196495717662378,0,0.005,10,0.1,"22722319",2,0
7730,22722281,3030,7.18816685169313,0.271238768287089,7340400,0.005,10,0.1,"22722323,22722295",2,0
8623,22722321,332,2.86113693267575,0.142329888579887,90900,0.005,10,0.1,"22722331",1,0
9924,22724763,141,4.46216197039509,0.194267785838562,208800,0.005,10,0.1,"22722335",2,0
10253,166757164,666,5.39889638827212,0.221989561840327,144900,0.005,10,0.1,"22722345",1,0
9551,22723621,2131,5.35901894509937,0.220840521294453,3258900,0.005,10,0.1,"22722361,22722359",2,0
8780,22722367,547,3.57802570672748,0.166444511354644,456300,0.005,10,0.1,"22722369,22722395",2,0
9547,22722353,18,2.28915846873391,0.121756501179973,3600,0.005,10,0.1,"22722377",1,0
8709,22724187,53,4.12586171791248,0.183898982634523,900,0.005,10,0.1,"22722399",2,0
9704,22724133,299,1.66279590730027,0.0973433575549095,171000,0.005,10,0.1,"22722405",1,0
8639,22724233,700,2.73247405806465,0.137818745433792,418500,0.005,10,0.1,"22722433",1,0
8245,22724223,92,2.68634457470612,0.136185936569517,32400,0.005,10,0.1,"22722439",1,0
8358,22722497,2389,11.3482144147124,0.37339485708756,1829700,0.005,10,0.1,"22722443,22722441",2,0
9696,22722483,909,3.68962242606637,0.170061657149855,515700,0.005,10,0.1,"22722487,22722503",2,0
9542,22723663,2578,11.4729011295437,0.376261978353609,2092500,0.005,10,0.1,"22722497",2,0
10243,166757154,1491,4.05119197352567,0.18156286847632,1115100,0.005,10,0.1,"22722507",1,0
8647,22724303,590,4.28038527248392,0.188693552852124,500400,0.005,10,0.1,"22722541",2,0
10073,22723697,1454,1.97558544479183,0.109826244059377,435600,0.005,10,0.1,"22722545",1,0
9985,22722529,126,4.80032591270648,0.204460098644716,32400,0.005,10,0.1,"22722571,22723671",2,0
7702,22722581,78,5.53290899740357,0.225832544594034,16200,0.005,10,0.1,"22722577,22722579",2,0
7701,22722609,838,5.9429602763884,0.2374220432188,524700,0.005,10,0.1,"22722581,22722583",2,0
8588,22724305,415,3.30226165452348,0.157357372795732,340200,0.005,10,0.1,"22722601",1,0
7700,22722643,885,6.35272875937106,0.248766145998688,1812600,0.005,10,0.1,"22722609,22722611",2,0
7695,22724739,6092,6.39438846001283,0.249906970789844,14758200,0.005,10,0.1,"22722617,22722619",2,0
7699,22722715,4702,7.53166272519601,0.280248091389419,8306100,0.005,10,0.1,"22722643,22722645",2,0
9688,22722717,2823,5.45896298023792,0.223715545539388,5337900,0.005,10,0.1,"22722653",1,0
10189,22724319,170,3.63573306921331,0.168319120126389,51300,0.005,10,0.1,"22722663",1,0
10205,22724359,352,3.43874621477462,0.161882218203909,139500,0.005,10,0.1,"22722667",2,0
